node,label
1136814,L2
1137466,L2
1152421,L2
1152508,L2
1153065,L2
1153280,L2
1153577,L2
1153853,L2
1153943,L4
1154176,L1
1154459,L2
1136397,L7
1140040,L3
1152194,L3
1152896,L7
1153945,L7
1154525,L6
1136422,L2
1136442,L3
1152143,L3
1152821,L3
1154169,L3
1153891,L4
1153166,L7
1153724,L7
1153728,L1
1153101,L3
1153150,L3
1153254,L6
1152075,L7
1135899,L3
1140230,L3
1152564,L1
1152290,L7
1153264,L1
1140289,L3
1152277,L5
1152673,L5
1154251,L5
1153169,L3
1136393,L3
1152917,L3
1136310,L4
1140547,L1
1153262,L1
1152714,L3
1154123,L2
1154124,L2
1153056,L5
1152740,L3
1152307,L3
1152448,L3
1152975,L3
1153703,L3
1153160,L7
1152150,L1
1154103,L1
1153811,L7
1155073,L3
1136446,L4
1153287,L3
1153097,L3
1138027,L3
1153148,L2
1153866,L5
1152761,L2
1153860,L2
1153816,L1
1152676,L6
1153003,L3
1154500,L5
1153183,L3
1152490,L7
1153861,L7
1152358,L2
1152308,L2
1152259,L4
1152991,L4
1152633,L4
1153091,L6
1152944,L3
1153736,L7
1138091,L1
1152244,L7
1153877,L1
1153879,L1
1153889,L1
1153064,L7
1153024,L4
1154042,L7
1153897,L3
1152436,L3
1152910,L2
1139928,L7
1135746,L3
1152162,L4
1152272,L4
1152904,L4
1153933,L5
1153942,L2
1154229,L7
1154232,L1
1154233,L7
1152179,L3
1135894,L1
1152569,L2
1153275,L2
1153106,L7
1136791,L2
1154524,L3
1135750,L3
1138043,L3
1153031,L3
1153786,L4
1152379,L3
1152958,L6
1154074,L4
1153899,L3
1140543,L7
1152394,L3
1154276,L4
1135589,L6
1154068,L6
1136342,L4
1152711,L3
1153922,L3
1138755,L3
1152859,L3
1153014,L1
1154520,L3
1152663,L4
1153195,L1
1138968,L6
1152959,L7
1153784,L2
1152858,L3
1139195,L2
1154173,L3
1154076,L3
1138970,L6
1153900,L3
1153896,L2
1153946,L3
1154012,L3
1154071,L4
1154230,L4
1140548,L7
1135955,L3
1136631,L3
1136634,L4
1136040,L3
1136110,L3
1136447,L4
1136449,L6
1137140,L3
1138619,L3
1139009,L3
1140231,L4
